,xgb_rmse,lgbm_rmse,avg_rmse,ensemble_meta_rmse,xgb_mae,lgbm_mae,ensemble_meta_mae,xgb_rmse_pct,ensemble_meta_rmse_pct,airline_naive,airline_seasonal_naive_7,airline_sma_7,ecommerce_naive,ecommerce_seasonal_naive_7,ecommerce_sma_7,payment_naive,payment_seasonal_naive_7,payment_sma_7
airline,1.1566874824264117,1.9083627277420565,1.4182507732158671,1.2376308911349687,0.16069288799226597,0.742495960828967,0.3246400947516882,3.61939409161875,3.8726743420634686,"{'rmse': 34.33123310388903, 'mae': 23.685314685314687, 'rmse_pct': np.float64(107.42595916534205)}","{'rmse': 35.151579856865126, 'mae': 25.12167832167832, 'rmse_pct': np.float64(109.99290852366987)}","{'rmse': 32.8399933527402, 'mae': 23.088711288711284, 'rmse_pct': np.float64(102.75971661798357)}",,,,,,
ecommerce,24.310832860499744,24.7704432314488,23.858244182254317,24.11420987909729,14.439578599154354,14.497422972275903,13.943924241073422,15.560815423227526,15.434961490574336,,,,"{'rmse': 112.8618763727316, 'mae': 88.1169757489301, 'rmse_pct': np.float64(72.2403397955449)}","{'rmse': 145.03776378720724, 'mae': 107.56776034236805, 'rmse_pct': np.float64(92.83539912601789)}","{'rmse': 114.5122684400178, 'mae': 75.55757081719992, 'rmse_pct': np.float64(73.29671850878621)}",,,
payment,55.82966690741954,54.69799785220028,54.739137157160194,50.99905011902646,29.536386138689664,28.294288501016585,26.765090332143973,15.876496298318605,14.50279529296071,,,,,,,"{'rmse': 427.39581021835573, 'mae': 320.7353112274578, 'rmse_pct': np.float64(121.54018418381129)}","{'rmse': 413.8040871853036, 'mae': 307.7574171029668, 'rmse_pct': np.float64(117.67505382614931)}","{'rmse': 410.684652452628, 'mae': 301.87243413944987, 'rmse_pct': np.float64(116.78796821862996)}"
